<<<<<<< Updated upstream:stimuli/handmade/real_equalized.csv
,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech
272,singapore,RLSH,real,long,simple,2.24e-05,7,4.35,"['S', 'IH1', 'NG', 'AH0', 'P', 'AO2', 'R']","['S', 'IH', 'NG', 'AH', 'P', 'AO', 'R']",PROPN
273,principal,RLSH,real,long,simple,3.31e-05,9,4.52,"['P', 'R', 'IH1', 'N', 'S', 'AH0', 'P', 'AH0', 'L']","['P', 'R', 'IH', 'N', 'S', 'AH', 'P', 'AH', 'L']",NOUN
274,respond,RLSH,real,long,simple,3.39e-05,7,4.53,"['R', 'IH0', 'S', 'P', 'AA1', 'N', 'D']","['R', 'IH', 'S', 'P', 'AA', 'N', 'D']",VERB
275,volunteer,RLSH,real,long,simple,1.91e-05,8,4.28,"['V', 'AA2', 'L', 'AH0', 'N', 'T', 'IH1', 'R']","['V', 'AA', 'L', 'AH', 'N', 'T', 'IH', 'R']",NOUN
276,ontario,RLSH,real,long,simple,1.62e-05,7,4.21,"['AA0', 'N', 'T', 'EH1', 'R', 'IY0', 'OW0']","['AA', 'N', 'T', 'EH', 'R', 'IY', 'OW']",PROPN
277,edinburgh,RLSH,real,long,simple,1.91e-05,7,4.28,"['EH1', 'D', 'AH0', 'N', 'B', 'ER0', 'OW0']","['EH', 'D', 'AH', 'N', 'B', 'ER', 'OW']",PROPN
278,hilarious,RLSH,real,long,simple,1.86e-05,8,4.27,"['HH', 'IH0', 'L', 'EH1', 'R', 'IY0', 'AH0', 'S']","['HH', 'IH', 'L', 'EH', 'R', 'IY', 'AH', 'S']",ADJ
279,suggest,RLSH,real,long,simple,5.62e-05,7,4.75,"['S', 'AH0', 'G', 'JH', 'EH1', 'S', 'T']","['S', 'AH', 'G', 'JH', 'EH', 'S', 'T']",VERB
280,genuine,RLSH,real,long,simple,2.34e-05,8,4.37,"['JH', 'EH1', 'N', 'Y', 'AH0', 'W', 'AH0', 'N']","['JH', 'EH', 'N', 'Y', 'AH', 'W', 'AH', 'N']",ADJ
281,complete,RLSH,real,long,simple,0.000126,7,5.1,"['K', 'AH0', 'M', 'P', 'L', 'IY1', 'T']","['K', 'AH', 'M', 'P', 'L', 'IY', 'T']",VERB
282,anniversary,RLSH,real,long,simple,3.39e-05,8,4.53,"['AE2', 'N', 'AH0', 'V', 'ER1', 'S', 'ER0', 'IY0']","['AE', 'N', 'AH', 'V', 'ER', 'S', 'ER', 'IY']",NOUN
283,influence,RLSH,real,long,simple,6.03e-05,8,4.78,"['IH1', 'N', 'F', 'L', 'UW0', 'AH0', 'N', 'S']","['IH', 'N', 'F', 'L', 'UW', 'AH', 'N', 'S']",NOUN
284,alcohol,RLSH,real,long,simple,4.07e-05,7,4.61,"['AE1', 'L', 'K', 'AH0', 'HH', 'AA2', 'L']","['AE', 'L', 'K', 'AH', 'HH', 'AA', 'L']",NOUN
285,congress,RLSH,real,long,simple,7.94e-05,7,4.9,"['K', 'AA1', 'NG', 'G', 'R', 'AH0', 'S']","['K', 'AA', 'NG', 'G', 'R', 'AH', 'S']",PROPN
286,syndrome,RLSH,real,long,simple,1.7e-05,7,4.23,"['S', 'IH1', 'N', 'D', 'R', 'OW2', 'M']","['S', 'IH', 'N', 'D', 'R', 'OW', 'M']",NOUN
287,control,RLSH,real,long,simple,0.000251,7,5.4,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L']","['K', 'AH', 'N', 'T', 'R', 'OW', 'L']",NOUN
288,category,RLSH,real,long,simple,3.72e-05,8,4.57,"['K', 'AE1', 'T', 'AH0', 'G', 'AO2', 'R', 'IY0']","['K', 'AE', 'T', 'AH', 'G', 'AO', 'R', 'IY']",NOUN
289,strategy,RLSH,real,long,simple,5.5e-05,8,4.74,"['S', 'T', 'R', 'AE1', 'T', 'AH0', 'JH', 'IY0']","['S', 'T', 'R', 'AE', 'T', 'AH', 'JH', 'IY']",NOUN
290,arsenal,RLSH,real,long,simple,2.04e-05,7,4.31,"['AA1', 'R', 'S', 'AH0', 'N', 'AH0', 'L']","['AA', 'R', 'S', 'AH', 'N', 'AH', 'L']",ADJ
291,program,RLSH,real,long,simple,0.000186,7,5.27,"['P', 'R', 'OW1', 'G', 'R', 'AE2', 'M']","['P', 'R', 'OW', 'G', 'R', 'AE', 'M']",NOUN
292,complex,RLSH,real,long,simple,7.24e-05,8,4.86,"['K', 'AA1', 'M', 'P', 'L', 'EH0', 'K', 'S']","['K', 'AA', 'M', 'P', 'L', 'EH', 'K', 'S']",ADJ
293,instance,RLSH,real,long,simple,3.89e-05,7,4.59,"['IH1', 'N', 'S', 'T', 'AH0', 'N', 'S']","['IH', 'N', 'S', 'T', 'AH', 'N', 'S']",NOUN
294,hospital,RLSH,real,long,simple,0.000117,8,5.07,"['HH', 'AA1', 'S', 'P', 'IH2', 'T', 'AH0', 'L']","['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L']",NOUN
295,facility,RLSH,real,long,simple,3.98e-05,8,4.6,"['F', 'AH0', 'S', 'IH1', 'L', 'IH0', 'T', 'IY0']","['F', 'AH', 'S', 'IH', 'L', 'IH', 'T', 'IY']",NOUN
296,instant,RLSH,real,long,simple,2.19e-05,7,4.34,"['IH1', 'N', 'S', 'T', 'AH0', 'N', 'T']","['IH', 'N', 'S', 'T', 'AH', 'N', 'T']",NOUN
297,candidate,RLSH,real,long,simple,4.57e-05,8,4.66,"['K', 'AE1', 'N', 'D', 'AH0', 'D', 'EY0', 'T']","['K', 'AE', 'N', 'D', 'AH', 'D', 'EY', 'T']",NOUN
298,vulnerable,RLSH,real,long,simple,1.62e-05,9,4.21,"['V', 'AH1', 'L', 'N', 'ER0', 'AH0', 'B', 'AH0', 'L']","['V', 'AH', 'L', 'N', 'ER', 'AH', 'B', 'AH', 'L']",ADJ
299,especially,RLSH,real,long,simple,0.000162,7,5.21,"['AH0', 'S', 'P', 'EH1', 'SH', 'L', 'IY0']","['AH', 'S', 'P', 'EH', 'SH', 'L', 'IY']",ADV
300,gingrich,RLSL,real,long,simple,9.77e-07,7,2.99,"['G', 'IH1', 'NG', 'G', 'R', 'IH0', 'CH']","['G', 'IH', 'NG', 'G', 'R', 'IH', 'CH']",PROPN
301,adrenal,RLSL,real,long,simple,9.77e-07,7,2.99,"['AH0', 'D', 'R', 'IY1', 'N', 'AH0', 'L']","['AH', 'D', 'R', 'IY', 'N', 'AH', 'L']",PROPN
302,resilient,RLSL,real,long,simple,3.16e-06,9,3.5,"['R', 'IH0', 'Z', 'IH1', 'L', 'Y', 'AH0', 'N', 'T']","['R', 'IH', 'Z', 'IH', 'L', 'Y', 'AH', 'N', 'T']",ADJ
303,mannequin,RLSL,real,long,simple,1.15e-06,7,3.06,"['M', 'AE1', 'N', 'AH0', 'K', 'IH0', 'N']","['M', 'AE', 'N', 'AH', 'K', 'IH', 'N']",NOUN
304,tabernacle,RLSL,real,long,simple,1.15e-06,9,3.06,"['T', 'AE1', 'B', 'ER0', 'N', 'AE2', 'K', 'AH0', 'L']","['T', 'AE', 'B', 'ER', 'N', 'AE', 'K', 'AH', 'L']",NOUN
305,avocado,RLSL,real,long,simple,2.82e-06,7,3.45,"['AE2', 'V', 'AH0', 'K', 'AA1', 'D', 'OW0']","['AE', 'V', 'AH', 'K', 'AA', 'D', 'OW']",NOUN
306,nordstrom,RLSL,real,long,simple,9.55e-07,9,2.98,"['N', 'AO1', 'R', 'D', 'S', 'T', 'R', 'AH0', 'M']","['N', 'AO', 'R', 'D', 'S', 'T', 'R', 'AH', 'M']",PROPN
307,celsius,RLSL,real,long,simple,1.95e-06,7,3.29,"['S', 'EH1', 'L', 'S', 'IY0', 'AH0', 'S']","['S', 'EH', 'L', 'S', 'IY', 'AH', 'S']",NOUN
308,budweiser,RLSL,real,long,simple,7.94e-07,7,2.9,"['B', 'AH1', 'D', 'W', 'AY0', 'Z', 'ER0']","['B', 'AH', 'D', 'W', 'AY', 'Z', 'ER']",PROPN
309,ecstasy,RLSL,real,long,simple,3.02e-06,7,3.48,"['EH1', 'K', 'S', 'T', 'AH0', 'S', 'IY0']","['EH', 'K', 'S', 'T', 'AH', 'S', 'IY']",NOUN
310,pragmatic,RLSL,real,long,simple,3.09e-06,9,3.49,"['P', 'R', 'AE0', 'G', 'M', 'AE1', 'T', 'IH0', 'K']","['P', 'R', 'AE', 'G', 'M', 'AE', 'T', 'IH', 'K']",ADJ
311,epitome,RLSL,real,long,simple,1.91e-06,7,3.28,"['IH0', 'P', 'IH1', 'T', 'AH0', 'M', 'IY0']","['IH', 'P', 'IH', 'T', 'AH', 'M', 'IY']",NOUN
312,epsilon,RLSL,real,long,simple,7.59e-07,7,2.88,"['EH1', 'P', 'S', 'AH0', 'L', 'AA2', 'N']","['EH', 'P', 'S', 'AH', 'L', 'AA', 'N']",NOUN
313,tarantino,RLSL,real,long,simple,1.1e-06,9,3.04,"['T', 'AA0', 'R', 'AA0', 'N', 'T', 'IY1', 'N', 'OW0']","['T', 'AA', 'R', 'AA', 'N', 'T', 'IY', 'N', 'OW']",NOUN
314,episcopal,RLSL,real,long,simple,2.75e-06,9,3.44,"['IH0', 'P', 'IH1', 'S', 'K', 'AH0', 'P', 'AH0', 'L']","['IH', 'P', 'IH', 'S', 'K', 'AH', 'P', 'AH', 'L']",PROPN
315,kendrick,RLSL,real,long,simple,2.88e-06,7,3.46,"['K', 'EH1', 'N', 'D', 'R', 'IH0', 'K']","['K', 'EH', 'N', 'D', 'R', 'IH', 'K']",PROPN
316,anaconda,RLSL,real,long,simple,9.33e-07,8,2.97,"['AE2', 'N', 'AH0', 'K', 'AA1', 'N', 'D', 'AH0']","['AE', 'N', 'AH', 'K', 'AA', 'N', 'D', 'AH']",NOUN
317,conundrum,RLSL,real,long,simple,1e-06,9,3.0,"['K', 'AH0', 'N', 'AH1', 'N', 'D', 'R', 'AH0', 'M']","['K', 'AH', 'N', 'AH', 'N', 'D', 'R', 'AH', 'M']",NOUN
318,pretzel,RLSL,real,long,simple,9.55e-07,7,2.98,"['P', 'R', 'EH1', 'T', 'Z', 'AH0', 'L']","['P', 'R', 'EH', 'T', 'Z', 'AH', 'L']",PROPN
319,hezbollah,RLSL,real,long,simple,1.86e-06,7,3.27,"['HH', 'EH0', 'Z', 'B', 'AA1', 'L', 'AH0']","['HH', 'EH', 'Z', 'B', 'AA', 'L', 'AH']",PROPN
320,sheridan,RLSL,real,long,simple,2.95e-06,7,3.47,"['SH', 'EH1', 'R', 'IH0', 'D', 'AH0', 'N']","['SH', 'EH', 'R', 'IH', 'D', 'AH', 'N']",PROPN
321,mutiny,RLSL,real,long,simple,1.86e-06,7,3.27,"['M', 'Y', 'UW1', 'T', 'AH0', 'N', 'IY0']","['M', 'Y', 'UW', 'T', 'AH', 'N', 'IY']",NOUN
322,socrates,RLSL,real,long,simple,1.86e-06,8,3.27,"['S', 'AA1', 'K', 'R', 'AH0', 'T', 'IY2', 'Z']","['S', 'AA', 'K', 'R', 'AH', 'T', 'IY', 'Z']",NOUN
323,amethyst,RLSL,real,long,simple,1.02e-06,7,3.01,"['AE1', 'M', 'IH0', 'TH', 'IH0', 'S', 'T']","['AE', 'M', 'IH', 'TH', 'IH', 'S', 'T']",NOUN
324,hiroshima,RLSL,real,long,simple,1.86e-06,8,3.27,"['HH', 'IH2', 'R', 'OW0', 'SH', 'IY1', 'M', 'AH0']","['HH', 'IH', 'R', 'OW', 'SH', 'IY', 'M', 'AH']",PROPN
325,sporadic,RLSL,real,long,simple,1.95e-06,7,3.29,"['S', 'P', 'ER0', 'AE1', 'D', 'IH0', 'K']","['S', 'P', 'ER', 'AE', 'D', 'IH', 'K']",ADJ
326,klingon,RLSL,real,long,simple,7.94e-07,7,2.9,"['K', 'L', 'IH1', 'NG', 'G', 'AH0', 'N']","['K', 'L', 'IH', 'NG', 'G', 'AH', 'N']",VERB
327,jeremiah,RLSL,real,long,simple,3.02e-06,7,3.48,"['JH', 'EH2', 'R', 'AH0', 'M', 'AY1', 'AH0']","['JH', 'EH', 'R', 'AH', 'M', 'AY', 'AH']",PROPN
328,heineken,RLSL,real,long,simple,1.02e-06,7,3.01,"['HH', 'AY1', 'N', 'AH0', 'K', 'AH0', 'N']","['HH', 'AY', 'N', 'AH', 'K', 'AH', 'N']",PROPN
329,uranus,RLSL,real,long,simple,1.02e-06,7,3.01,"['Y', 'UW1', 'R', 'AH0', 'N', 'AH0', 'S']","['Y', 'UW', 'R', 'AH', 'N', 'AH', 'S']",PROPN
330,piccadilly,RLSL,real,long,simple,1.05e-06,8,3.02,"['P', 'IH1', 'K', 'AH0', 'D', 'IH2', 'L', 'IY0']","['P', 'IH', 'K', 'AH', 'D', 'IH', 'L', 'IY']",PROPN
331,cataract,RLSL,real,long,simple,9.33e-07,8,2.97,"['K', 'AE1', 'T', 'ER0', 'AE0', 'K', 'T', 'S']","['K', 'AE', 'T', 'ER', 'AE', 'K', 'T', 'S']",NOUN
332,caramel,RLSL,real,long,simple,3.02e-06,7,3.48,"['K', 'EH1', 'R', 'AH0', 'M', 'AH0', 'L']","['K', 'EH', 'R', 'AH', 'M', 'AH', 'L']",PROPN
333,hallelujah,RLSL,real,long,simple,2e-06,8,3.3,"['HH', 'AE2', 'L', 'AH0', 'L', 'UW1', 'Y', 'AH0']","['HH', 'AE', 'L', 'AH', 'L', 'UW', 'Y', 'AH']",PROPN
334,plankton,RLSL,real,long,simple,1.12e-06,8,3.05,"['P', 'L', 'AE1', 'NG', 'K', 'T', 'AH0', 'N']","['P', 'L', 'AE', 'NG', 'K', 'T', 'AH', 'N']",NOUN
335,cannibal,RLSL,real,long,simple,1.12e-06,7,3.05,"['K', 'AE1', 'N', 'AH0', 'B', 'AH0', 'L']","['K', 'AE', 'N', 'AH', 'B', 'AH', 'L']",NOUN
336,diaspora,RLSL,real,long,simple,2.82e-06,7,3.45,"['D', 'AY0', 'AE1', 'S', 'P', 'ER0', 'AH0']","['D', 'AY', 'AE', 'S', 'P', 'ER', 'AH']",PROPN
337,synagogue,RLSL,real,long,simple,2.82e-06,7,3.45,"['S', 'IH1', 'N', 'AH0', 'G', 'AO2', 'G']","['S', 'IH', 'N', 'AH', 'G', 'AO', 'G']",NOUN
338,cappuccino,RLSL,real,long,simple,7.41e-07,8,2.87,"['K', 'AE2', 'P', 'UW2', 'CH', 'IY1', 'N', 'OW0']","['K', 'AE', 'P', 'UW', 'CH', 'IY', 'N', 'OW']",NOUN
339,javelin,RLSL,real,long,simple,7.94e-07,7,2.9,"['JH', 'AE1', 'V', 'AH0', 'L', 'AH0', 'N']","['JH', 'AE', 'V', 'AH', 'L', 'AH', 'N']",NOUN
340,lavender,RLSL,real,long,simple,2.75e-06,7,3.44,"['L', 'AE1', 'V', 'AH0', 'N', 'D', 'ER0']","['L', 'AE', 'V', 'AH', 'N', 'D', 'ER']",VERB
341,ukulele,RLSL,real,long,simple,1.02e-06,8,3.01,"['Y', 'UW2', 'K', 'AH0', 'L', 'EY1', 'L', 'IY0']","['Y', 'UW', 'K', 'AH', 'L', 'EY', 'L', 'IY']",PROPN
342,umbilical,RLSL,real,long,simple,1.05e-06,9,3.02,"['AH0', 'M', 'B', 'IH1', 'L', 'IH0', 'K', 'AH0', 'L']","['AH', 'M', 'B', 'IH', 'L', 'IH', 'K', 'AH', 'L']",ADJ
343,travesty,RLSL,real,long,simple,1e-06,8,3.0,"['T', 'R', 'AE1', 'V', 'AH0', 'S', 'T', 'IY0']","['T', 'R', 'AE', 'V', 'AH', 'S', 'T', 'IY']",PROPN
344,scarlett,RLSL,real,long,simple,2.82e-06,7,3.45,"['S', 'K', 'AA1', 'R', 'L', 'IH0', 'T']","['S', 'K', 'AA', 'R', 'L', 'IH', 'T']",PROPN
345,yokohama,RLSL,real,long,simple,1.12e-06,8,3.05,"['Y', 'OW2', 'K', 'AH0', 'HH', 'AA1', 'M', 'AH0']","['Y', 'OW', 'K', 'AH', 'HH', 'AA', 'M', 'AH']",PROPN
346,yosemite,RLSL,real,long,simple,1.91e-06,8,3.28,"['Y', 'OW0', 'S', 'EH1', 'M', 'IH0', 'T', 'IY0']","['Y', 'OW', 'S', 'EH', 'M', 'IH', 'T', 'IY']",PROPN
347,magenta,RLSL,real,long,simple,1.05e-06,7,3.02,"['M', 'AH0', 'JH', 'EH1', 'N', 'T', 'AH0']","['M', 'AH', 'JH', 'EH', 'N', 'T', 'AH']",ADJ
348,broccoli,RLSL,real,long,simple,3.16e-06,7,3.5,"['B', 'R', 'AA1', 'K', 'AH0', 'L', 'IY0']","['B', 'R', 'AA', 'K', 'AH', 'L', 'IY']",VERB
349,zeppelin,RLSL,real,long,simple,1.95e-06,7,3.29,"['Z', 'EH1', 'P', 'IH0', 'L', 'IH0', 'N']","['Z', 'EH', 'P', 'IH', 'L', 'IH', 'N']",PROPN
350,poignant,RLSL,real,long,simple,1.86e-06,7,3.27,"['P', 'OY1', 'N', 'Y', 'AH0', 'N', 'T']","['P', 'OY', 'N', 'Y', 'AH', 'N', 'T']",ADJ
351,trenton,RLSL,real,long,simple,1.95e-06,7,3.29,"['T', 'R', 'EH1', 'N', 'T', 'AH0', 'N']","['T', 'R', 'EH', 'N', 'T', 'AH', 'N']",PROPN
352,apricot,RLSL,real,long,simple,9.55e-07,7,2.98,"['EY1', 'P', 'R', 'AH0', 'K', 'AA2', 'T']","['EY', 'P', 'R', 'AH', 'K', 'AA', 'T']",PROPN
353,mozambique,RLSL,real,long,simple,1.95e-06,8,3.29,"['M', 'OW2', 'Z', 'AE0', 'M', 'B', 'IY1', 'K']","['M', 'OW', 'Z', 'AE', 'M', 'B', 'IY', 'K']",PROPN
354,nagasaki,RLSL,real,long,simple,9.55e-07,8,2.98,"['N', 'AA2', 'G', 'AA0', 'S', 'AA1', 'K', 'IY0']","['N', 'AA', 'G', 'AA', 'S', 'AA', 'K', 'IY']",PROPN
355,thesaurus,RLSL,real,long,simple,7.59e-07,7,2.88,"['TH', 'AH0', 'S', 'AO1', 'R', 'AH0', 'S']","['TH', 'AH', 'S', 'AO', 'R', 'AH', 'S']",NOUN
356,agnostic,RLSL,real,long,simple,1.05e-06,8,3.02,"['AE0', 'G', 'N', 'AA1', 'S', 'T', 'IH0', 'K']","['AE', 'G', 'N', 'AA', 'S', 'T', 'IH', 'K']",ADJ
357,catapult,RLSL,real,long,simple,1.02e-06,8,3.01,"['K', 'AE1', 'T', 'AH0', 'P', 'AH2', 'L', 'T']","['K', 'AE', 'T', 'AH', 'P', 'AH', 'L', 'T']",VERB
358,maserati,RLSL,real,long,simple,9.55e-07,8,2.98,"['M', 'AE2', 'S', 'EH0', 'R', 'AA1', 'T', 'IY0']","['M', 'AE', 'S', 'EH', 'R', 'AA', 'T', 'IY']",PROPN
359,blatant,RLSL,real,long,simple,2.82e-06,7,3.45,"['B', 'L', 'EY1', 'T', 'AH0', 'N', 'T']","['B', 'L', 'EY', 'T', 'AH', 'N', 'T']",ADJ
360,amulet,RLSL,real,long,simple,9.77e-07,7,2.99,"['AE1', 'M', 'Y', 'AH0', 'L', 'AH0', 'T']","['AE', 'M', 'Y', 'AH', 'L', 'AH', 'T']",NOUN
361,lavatory,RLSL,real,long,simple,7.94e-07,8,2.9,"['L', 'AE1', 'V', 'AH0', 'T', 'AO2', 'R', 'IY0']","['L', 'AE', 'V', 'AH', 'T', 'AO', 'R', 'IY']",NOUN
362,marlboro,RLSL,real,long,simple,1.05e-06,7,3.02,"['M', 'AA1', 'R', 'L', 'B', 'ER0', 'OW0']","['M', 'AA', 'R', 'L', 'B', 'ER', 'OW']",PROPN
363,trafalgar,RLSL,real,long,simple,1.05e-06,8,3.02,"['T', 'R', 'AH0', 'F', 'AE1', 'L', 'G', 'ER0']","['T', 'R', 'AH', 'F', 'AE', 'L', 'G', 'ER']",PROPN
364,kubrick,RLSL,real,long,simple,7.59e-07,7,2.88,"['K', 'Y', 'UW1', 'B', 'R', 'IH2', 'K']","['K', 'Y', 'UW', 'B', 'R', 'IH', 'K']",PROPN
365,badminton,RLSL,real,long,simple,1.91e-06,9,3.28,"['B', 'AE1', 'D', 'M', 'IH2', 'N', 'T', 'AH0', 'N']","['B', 'AE', 'D', 'M', 'IH', 'N', 'T', 'AH', 'N']",PROPN
366,ephemeral,RLSL,real,long,simple,9.77e-07,7,2.99,"['IH0', 'F', 'EH1', 'M', 'ER0', 'AH0', 'L']","['IH', 'F', 'EH', 'M', 'ER', 'AH', 'L']",ADJ
367,cadillac,RLSL,real,long,simple,3.02e-06,7,3.48,"['K', 'AE1', 'D', 'AH0', 'L', 'AE2', 'K']","['K', 'AE', 'D', 'AH', 'L', 'AE', 'K']",PROPN
368,pringle,RLSL,real,long,simple,7.94e-07,7,2.9,"['P', 'R', 'IH1', 'NG', 'G', 'AH0', 'L']","['P', 'R', 'IH', 'NG', 'G', 'AH', 'L']",PROPN
369,pasadena,RLSL,real,long,simple,2.82e-06,8,3.45,"['P', 'AE2', 'S', 'AH0', 'D', 'IY1', 'N', 'ER0']","['P', 'AE', 'S', 'AH', 'D', 'IY', 'N', 'ER']",PROPN
370,porcupine,RLSL,real,long,simple,7.59e-07,9,2.88,"['P', 'AO1', 'R', 'K', 'Y', 'AH0', 'P', 'AY2', 'N']","['P', 'AO', 'R', 'K', 'Y', 'AH', 'P', 'AY', 'N']",NOUN
371,azerbaijan,RLSL,real,long,simple,3.02e-06,8,3.48,"['AA2', 'Z', 'ER0', 'B', 'AY0', 'JH', 'AA1', 'N']","['AA', 'Z', 'ER', 'B', 'AY', 'JH', 'AA', 'N']",PROPN
372,albuquerque,RLSL,real,long,simple,3.16e-06,8,3.5,"['AE1', 'L', 'B', 'AH0', 'K', 'ER0', 'K', 'IY0']","['AE', 'L', 'B', 'AH', 'K', 'ER', 'K', 'IY']",PROPN
373,wesleyan,RLSL,real,long,simple,1.12e-06,7,3.05,"['W', 'EH1', 'Z', 'L', 'IY0', 'AH0', 'N']","['W', 'EH', 'Z', 'L', 'IY', 'AH', 'N']",PROPN
374,mahogany,RLSL,real,long,simple,1.95e-06,8,3.29,"['M', 'AH0', 'HH', 'AA1', 'G', 'AH0', 'N', 'IY0']","['M', 'AH', 'HH', 'AA', 'G', 'AH', 'N', 'IY']",NOUN
375,adamant,RLSL,real,long,simple,1.91e-06,7,3.28,"['AE1', 'D', 'AH0', 'M', 'AH0', 'N', 'T']","['AE', 'D', 'AH', 'M', 'AH', 'N', 'T']",ADJ
376,bolshevik,RLSL,real,long,simple,9.33e-07,8,2.97,"['B', 'OW1', 'L', 'SH', 'AH0', 'V', 'IH2', 'K']","['B', 'OW', 'L', 'SH', 'AH', 'V', 'IH', 'K']",ADJ
377,placebo,RLSL,real,long,simple,3.02e-06,7,3.48,"['P', 'L', 'AH0', 'S', 'IY1', 'B', 'OW0']","['P', 'L', 'AH', 'S', 'IY', 'B', 'OW']",NOUN
378,anomaly,RLSL,real,long,simple,2.95e-06,7,3.47,"['AH0', 'N', 'AA1', 'M', 'AH0', 'L', 'IY0']","['AH', 'N', 'AA', 'M', 'AH', 'L', 'IY']",NOUN
379,molasses,RLSL,real,long,simple,1e-06,7,3.0,"['M', 'AH0', 'L', 'AE1', 'S', 'AH0', 'Z']","['M', 'AH', 'L', 'AE', 'S', 'AH', 'Z']",VERB
380,penicillin,RLSL,real,long,simple,1.1e-06,9,3.04,"['P', 'EH2', 'N', 'AH0', 'S', 'IH1', 'L', 'AH0', 'N']","['P', 'EH', 'N', 'AH', 'S', 'IH', 'L', 'AH', 'N']",NOUN
381,barbados,RLSL,real,long,simple,3.16e-06,8,3.5,"['B', 'AA0', 'R', 'B', 'EY1', 'D', 'OW0', 'S']","['B', 'AA', 'R', 'B', 'EY', 'D', 'OW', 'S']",PROPN
382,avalanche,RLSL,real,long,simple,3.02e-06,7,3.48,"['AE1', 'V', 'AH0', 'L', 'AE2', 'N', 'CH']","['AE', 'V', 'AH', 'L', 'AE', 'N', 'CH']",NOUN
383,lombard,RLSL,real,long,simple,1e-06,7,3.0,"['L', 'AA1', 'M', 'B', 'AA0', 'R', 'D']","['L', 'AA', 'M', 'B', 'AA', 'R', 'D']",PROPN
384,fluctuate,RLSL,real,long,simple,9.77e-07,9,2.99,"['F', 'L', 'AH1', 'K', 'CH', 'AH0', 'W', 'EY2', 'T']","['F', 'L', 'AH', 'K', 'CH', 'AH', 'W', 'EY', 'T']",VERB
385,cilantro,RLSL,real,long,simple,7.76e-07,8,2.89,"['S', 'IH0', 'L', 'AE1', 'N', 'T', 'R', 'OW0']","['S', 'IH', 'L', 'AE', 'N', 'T', 'R', 'OW']",NOUN
386,impetus,RLSL,real,long,simple,1.86e-06,7,3.27,"['IH1', 'M', 'P', 'AH0', 'T', 'AH0', 'S']","['IH', 'M', 'P', 'AH', 'T', 'AH', 'S']",NOUN
387,requiem,RLSL,real,long,simple,1.15e-06,7,3.06,"['R', 'EH1', 'K', 'W', 'IY0', 'AH0', 'M']","['R', 'EH', 'K', 'W', 'IY', 'AH', 'M']",NOUN
388,molotov,RLSL,real,long,simple,1.05e-06,7,3.02,"['M', 'AO1', 'L', 'AH0', 'T', 'AA2', 'F']","['M', 'AO', 'L', 'AH', 'T', 'AA', 'F']",PROPN
389,nefarious,RLSL,real,long,simple,1e-06,8,3.0,"['N', 'AH0', 'F', 'EH1', 'R', 'IY0', 'AH0', 'S']","['N', 'AH', 'F', 'EH', 'R', 'IY', 'AH', 'S']",ADJ
390,bonanza,RLSL,real,long,simple,1.12e-06,7,3.05,"['B', 'AH0', 'N', 'AE1', 'N', 'Z', 'AH0']","['B', 'AH', 'N', 'AE', 'N', 'Z', 'AH']",NOUN
391,venison,RLSL,real,long,simple,7.76e-07,7,2.89,"['V', 'EH1', 'N', 'AH0', 'S', 'AH0', 'N']","['V', 'EH', 'N', 'AH', 'S', 'AH', 'N']",NOUN
392,margarita,RLSL,real,long,simple,2e-06,8,3.3,"['M', 'AA2', 'R', 'G', 'ER0', 'IY1', 'T', 'AH0']","['M', 'AA', 'R', 'G', 'ER', 'IY', 'T', 'AH']",NOUN
393,nicaragua,RLSL,real,long,simple,2.75e-06,8,3.44,"['N', 'IH2', 'K', 'ER0', 'AA1', 'G', 'W', 'AH0']","['N', 'IH', 'K', 'ER', 'AA', 'G', 'W', 'AH']",PROPN
394,confetti,RLSL,real,long,simple,1.07e-06,7,3.03,"['K', 'AH0', 'N', 'F', 'EH1', 'T', 'IY0']","['K', 'AH', 'N', 'F', 'EH', 'T', 'IY']",NOUN
395,vortex,RLSL,real,long,simple,2.95e-06,7,3.47,"['V', 'AO1', 'R', 'T', 'EH0', 'K', 'S']","['V', 'AO', 'R', 'T', 'EH', 'K', 'S']",NOUN
396,rhapsody,RLSL,real,long,simple,1.02e-06,7,3.01,"['R', 'AE1', 'P', 'S', 'AH0', 'D', 'IY0']","['R', 'AE', 'P', 'S', 'AH', 'D', 'IY']",NOUN
397,crocodile,RLSL,real,long,simple,3.09e-06,8,3.49,"['K', 'R', 'AA1', 'K', 'AH0', 'D', 'AY2', 'L']","['K', 'R', 'AA', 'K', 'AH', 'D', 'AY', 'L']",NOUN
398,siegfried,RLSL,real,long,simple,1.07e-06,7,3.03,"['S', 'IY1', 'G', 'F', 'R', 'IY2', 'D']","['S', 'IY', 'G', 'F', 'R', 'IY', 'D']",PROPN
399,ebenezer,RLSL,real,long,simple,7.76e-07,7,2.89,"['EH2', 'B', 'IH0', 'N', 'IY1', 'Z', 'ER0']","['EH', 'B', 'IH', 'N', 'IY', 'Z', 'ER']",PROPN
400,gathered,RSCH,real,short,complex,1.86e-05,5,4.27,"['G', 'AE1', 'DH', 'ER0', 'D']","['G', 'AE', 'DH', 'ER', 'D']",VERB
